userID,itemID,age,gender,category,crowdedness,creationDate,knowledgeOfemaleemaleSurroundings,timeAvailable,season,daytime,mood,weather,emotionalStability,temperature,budget,agreeableness,opennessToExperience,transport,companion,travelGoal,distance,rating
317.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0
717.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0
1117.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0
1517.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0
1917.0,1.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,5.0
65.0,1.0,3.0,1.0,1.0,2.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,4.0,0.0,2.0,8.0,0.0,3.0
67.0,1.0,5.0,1.0,1.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,6.0,0.0,0.0,8.0,0.0,4.0
311.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,2.0
711.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,2.0
1111.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,2.0
1511.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,2.0
1911.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,6.0,0.0,0.0,1.0,0.0,2.0
106.0,1.0,3.0,2.0,1.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,4.0,5.0,0.0,0.0,8.0,0.0,2.0
